단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
통경탕,1786,3546,2953,NNP,*,T,통경탕,Compound,*,*,*,통경/NNP/*+탕/NNP/*
통규탕,1786,3546,2953,NNP,*,T,통규탕,Compound,*,*,*,통규/NNP/*+탕/NNP/*
팔물군자탕,1786,3546,2953,NNP,*,T,팔물군자탕,Compound,*,*,*,팔/NNP/*+물/NNP/*+군자/NNP/*+탕/NNP/*
팔보회춘탕,1786,3546,2953,NNP,*,T,팔보회춘탕,Compound,*,*,*,팔/NNP/*+보회/NNP/*+탕/NNP/*
팔진탕,1786,3546,2953,NNP,*,T,팔진탕,*,*,*,*,팔진탕/NNP/*
평진건비탕,1786,3546,2953,NNP,*,T,평진건비탕,Compound,*,*,*,평/NNP/*+건/NNP/*+비탕/NNP/*
평진탕,1786,3546,2953,NNP,*,T,평진탕,Compound,*,*,*,평/NNP/*+진탕/NNP/*
필용방감길탕,1786,3546,2953,NNP,*,T,필용방감길탕,Compound,*,*,*,필/NNP/*+용방/NNP/*+감길탕/NNP/*
하출보심탕,1786,3546,2953,NNP,*,T,하출보심탕,*,*,*,*,탕/NNP/*
한다열소탕,1786,3546,2953,NNP,*,T,한다열소탕,Compound,*,*,*,한다열소/NNP/*+탕/NNP/*
해표양진탕,1786,3546,2953,NNP,*,T,해표양진탕,Compound,*,*,*,해/NNP/*+표양/NNP/*+진탕/NNP/*
해표이진탕,1786,3546,2953,NNP,*,T,해표이진탕,Compound,*,*,*,해표/NNP/*+이진탕/NNP/*
행소청기탕,1786,3546,2953,NNP,*,T,행소청기탕,Compound,*,*,*,행소/NNP/*+청기/NNP/*+탕/NNP/*
행인승청탕,1786,3546,2953,NNP,*,T,행인승청탕,Compound,*,*,*,행인/NNP/*+승/NNP/*+청/NNP/*+탕/NNP/*
향부자팔물탕,1786,3546,2953,NNP,*,T,향부자팔물탕,Compound,*,*,*,향부자/NNP/*+팔물탕/NNP/*
향사양위탕,1786,3546,2953,NNP,*,T,향사양위탕,Compound,*,*,*,향사/NNP/*+양위탕/NNP/*
향사온비탕,1786,3546,2953,NNP,*,T,향사온비탕,Compound,*,*,*,향사/NNP/*+비탕/NNP/*
향사육군자탕,1786,3546,2953,NNP,*,T,향사육군자탕,Compound,*,*,*,향사/NNP/*+육군자탕/NNP/*
현부이경탕,1786,3546,2953,NNP,*,T,현부이경탕,Compound,*,*,*,현부/NNP/*+이경/NNP/*+탕/NNP/*
현삼지황탕,1786,3546,2953,NNP,*,T,현삼지황탕,Compound,*,*,*,현삼/NNP/*+지황탕/NNP/*
